scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,policy_seed_mean_std,ci95_low,ci95_high,bootstrap_standard_error,ci_method,ci_resamples,confidence_level
frequent_break,delay_only,mean_queue_packets,50,1,50,2.5687222222222226,0.2923325785517948,0.0,2.4874694444444443,2.6451111111111114,0.04048334248134461,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,routing_switches,50,1,50,127.16,18.462714771525174,0.0,121.9,132.2005,2.621896753672308,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,episode_reward,50,1,50,-19.171282308187532,2.5970487806072495,0.0,-19.911358968552122,-18.45500415340825,0.37077655145359595,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,global_delay_cost,50,1,50,0.32417279241644226,0.036265187682685295,0.0,0.31459654570087975,0.3340460955511905,0.0050291044947027175,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,global_queue_cost,50,1,50,0.05963703703703703,0.006852554218936216,0.0,0.057766574074074074,0.06147658950617284,0.0009448655377897698,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,global_load_imbalance,50,1,50,0.6978593835979698,0.023575848708268215,0.0,0.6915425181183075,0.7047295043458868,0.00332540675111059,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,global_switch_cost,50,1,50,0.21978989165314378,0.026063282999034168,0.0,0.21263342096438048,0.22682010604459504,0.003638106318918487,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,global_throughput_reward,50,1,50,0.04827966888570267,0.014240204509668853,0.0,0.044367261735313294,0.05223753938244355,0.0019992391194204344,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,global_control_overhead_ratio,50,1,50,0.049112625551550465,0.0042745275579642965,0.0,0.04797132235275887,0.05030641886251238,0.0005985295749911257,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,global_drop_cost,50,1,50,0.12253224004300192,0.028236770564558627,0.0,0.11513484774446177,0.13051038667913337,0.003931618171902022,crossed_pigeonhole_bootstrap_percentile,5000,0.95
